Адрес,Уровень клиента,Время начала рабочего дня,Время окончания рабочего дня
г. Ростов-на-Дону, ул. Большая Садовая, 115,VIP,09:00,18:00
г. Ростов-на-Дону, пр. Буденновский, 93,Standart,08:30,17:30
г. Ростов-на-Дону, ул. Пушкинская, 10,Standart,09:00,18:00
г. Ростов-на-Дону, пр. Ворошиловский, 52,VIP,10:00,19:00
г. Ростов-на-Дону, ул. Социалистическая, 74,Standart,09:00,17:00
г. Ростов-на-Дону, пр. Соколова, 85,Standart,08:00,17:00
г. Ростов-на-Дону, ул. Красноармейская, 170,VIP,09:30,18:30
г. Ростов-на-Дону, пр. Стачки, 221,Standart,08:30,18:00
г. Ростов-на-Дону, ул. Города Волос, 6,Standart,09:00,17:30
г. Ростов-на-Дону, пр. Михаила Нагибина, 32,VIP,10:00,19:00

